date,parcelle_id,latitude,longitude,culture,ndvi,lai,stress_hydrique,biomasse_estimee
2020-01-01,P001,33.85339,-5.515999,sol_nu,0.181,0.15,0.0,0.0
2020-01-02,P001,33.85339,-5.515999,sol_nu,0.19,0.26,0.0,0.0
2020-01-03,P001,33.85339,-5.515999,sol_nu,0.164,0.21,0.0,0.0
2020-01-04,P001,33.85339,-5.515999,sol_nu,0.178,0.2,0.0,0.0
2020-01-05,P001,33.85339,-5.515999,sol_nu,0.14,0.18,0.0,0.0
2020-01-06,P001,33.85339,-5.515999,sol_nu,0.174,0.21,0.0,0.0
2020-01-07,P001,33.85339,-5.515999,sol_nu,0.184,0.1,0.0,0.0
2020-01-08,P001,33.85339,-5.515999,sol_nu,0.175,0.17,0.0,0.0
2020-01-09,P001,33.85339,-5.515999,sol_nu,0.175,0.16,0.0,0.0
2020-01-10,P001,33.85339,-5.515999,sol_nu,0.165,0.12,0.0,0.0
2020-01-11,P001,33.85339,-5.515999,sol_nu,0.138,0.2,0.0,0.0
2020-01-12,P001,33.85339,-5.515999,sol_nu,0.184,0.22,0.0,0.0
2020-01-13,P001,33.85339,-5.515999,sol_nu,0.136,0.29,0.0,0.0
2020-01-14,P001,33.85339,-5.515999,sol_nu,0.147,0.28,0.0,0.0
2020-01-15,P001,33.85339,-5.515999,sol_nu,0.182,0.27,0.0,0.0
2020-01-16,P001,33.85339,-5.515999,sol_nu,0.188,0.18,0.0,0.0
2020-01-17,P001,33.85339,-5.515999,sol_nu,0.145,0.21,0.0,0.0
2020-01-18,P001,33.85339,-5.515999,sol_nu,0.178,0.15,0.0,0.0
2020-01-19,P001,33.85339,-5.515999,sol_nu,0.133,0.13,0.0,0.0
2020-01-20,P001,33.85339,-5.515999,sol_nu,0.198,0.17,0.0,0.0
2020-01-21,P001,33.85339,-5.515999,sol_nu,0.12,0.15,0.0,0.0
2020-01-22,P001,33.85339,-5.515999,sol_nu,0.104,0.16,0.0,0.0
2020-01-23,P001,33.85339,-5.515999,sol_nu,0.159,0.16,0.0,0.0
2020-01-24,P001,33.85339,-5.515999,sol_nu,0.191,0.13,0.0,0.0
2020-01-25,P001,33.85339,-5.515999,sol_nu,0.119,0.28,0.0,0.0
2020-01-26,P001,33.85339,-5.515999,sol_nu,0.153,0.16,0.0,0.0
2020-01-27,P001,33.85339,-5.515999,sol_nu,0.128,0.19,0.0,0.0
2020-01-28,P001,33.85339,-5.515999,sol_nu,0.102,0.22,0.0,0.0
2020-01-29,P001,33.85339,-5.515999,sol_nu,0.184,0.22,0.0,0.0
2020-01-30,P001,33.85339,-5.515999,sol_nu,0.184,0.12,0.0,0.0
2020-01-31,P001,33.85339,-5.515999,sol_nu,0.163,0.14,0.0,0.0
2020-02-01,P001,33.85339,-5.515999,sol_nu,0.136,0.14,0.0,0.0
2020-02-02,P001,33.85339,-5.515999,sol_nu,0.129,0.18,0.0,0.0
2020-02-03,P001,33.85339,-5.515999,sol_nu,0.129,0.28,0.0,0.0
2020-02-04,P001,33.85339,-5.515999,sol_nu,0.135,0.18,0.0,0.0
2020-02-05,P001,33.85339,-5.515999,sol_nu,0.18,0.22,0.0,0.0
2020-02-06,P001,33.85339,-5.515999,sol_nu,0.154,0.15,0.0,0.0
2020-02-07,P001,33.85339,-5.515999,sol_nu,0.102,0.15,0.0,0.0
2020-02-08,P001,33.85339,-5.515999,sol_nu,0.127,0.18,0.0,0.0
2020-02-09,P001,33.85339,-5.515999,sol_nu,0.176,0.15,0.0,0.0
2020-02-10,P001,33.85339,-5.515999,sol_nu,0.108,0.13,0.0,0.0
2020-02-11,P001,33.85339,-5.515999,sol_nu,0.14,0.14,0.0,0.0
2020-02-12,P001,33.85339,-5.515999,sol_nu,0.171,0.11,0.0,0.0
2020-02-13,P001,33.85339,-5.515999,sol_nu,0.154,0.25,0.0,0.0
2020-02-14,P001,33.85339,-5.515999,sol_nu,0.156,0.2,0.0,0.0
2020-02-15,P001,33.85339,-5.515999,sol_nu,0.195,0.29,0.0,0.0
2020-02-16,P001,33.85339,-5.515999,sol_nu,0.151,0.21,0.0,0.0
2020-02-17,P001,33.85339,-5.515999,sol_nu,0.118,0.14,0.0,0.0
2020-02-18,P001,33.85339,-5.515999,sol_nu,0.141,0.26,0.0,0.0
2020-02-19,P001,33.85339,-5.515999,sol_nu,0.184,0.18,0.0,0.0
2020-02-20,P001,33.85339,-5.515999,sol_nu,0.129,0.27,0.0,0.0
2020-02-21,P001,33.85339,-5.515999,sol_nu,0.102,0.24,0.0,0.0
2020-02-22,P001,33.85339,-5.515999,sol_nu,0.108,0.2,0.0,0.0
2020-02-23,P001,33.85339,-5.515999,sol_nu,0.172,0.29,0.0,0.0
2020-02-24,P001,33.85339,-5.515999,sol_nu,0.181,0.28,0.0,0.0
2020-02-25,P001,33.85339,-5.515999,sol_nu,0.102,0.14,0.0,0.0
2020-02-26,P001,33.85339,-5.515999,sol_nu,0.17,0.27,0.0,0.0
2020-02-27,P001,33.85339,-5.515999,sol_nu,0.136,0.15,0.0,0.0
2020-02-28,P001,33.85339,-5.515999,sol_nu,0.142,0.18,0.0,0.0
2020-02-29,P001,33.85339,-5.515999,sol_nu,0.182,0.17,0.0,0.0
2020-03-01,P001,33.85339,-5.515999,Mais,0.37,0.56,0.023,2.07
2020-03-02,P001,33.85339,-5.515999,Ble,0.28,0.44,0.025,1.22
2020-03-03,P001,33.85339,-5.515999,Ble,0.296,0.48,0.021,1.42
2020-03-04,P001,33.85339,-5.515999,Ble,0.27,0.52,0.061,1.41
2020-03-05,P001,33.85339,-5.515999,Ble,0.272,0.52,0.025,1.41
2020-03-06,P001,33.85339,-5.515999,Ble,0.253,0.58,0.027,1.46
2020-03-07,P001,33.85339,-5.515999,Tournesol,0.274,0.37,0.002,1.01
2020-03-08,P001,33.85339,-5.515999,Tournesol,0.258,0.38,0.07,0.98
2020-03-09,P001,33.85339,-5.515999,Mais,0.364,0.55,0.035,2.0
2020-03-10,P001,33.85339,-5.515999,Ble,0.281,0.41,0.056,1.16
2020-03-11,P001,33.85339,-5.515999,Tournesol,0.267,0.37,0.007,1.0
2020-03-12,P001,33.85339,-5.515999,Mais,0.39,0.52,0.02,2.04
2020-03-13,P001,33.85339,-5.515999,Ble,0.245,0.5,0.01,1.22
2020-03-14,P001,33.85339,-5.515999,Tournesol,0.282,0.36,0.036,1.02
2020-03-15,P001,33.85339,-5.515999,Tournesol,0.261,0.39,0.026,1.01
2020-03-16,P001,33.85339,-5.515999,Tournesol,0.284,0.42,0.059,1.2
2020-03-17,P001,33.85339,-5.515999,Mais,0.362,0.55,0.026,1.98
2020-03-18,P001,33.85339,-5.515999,Ble,0.252,0.47,0.037,1.18
2020-03-19,P001,33.85339,-5.515999,Tournesol,0.255,0.35,0.028,0.9
2020-03-20,P001,33.85339,-5.515999,Mais,0.363,0.51,0.034,1.85
2020-03-21,P001,33.85339,-5.515999,Ble,0.282,0.47,0.025,1.32
2020-03-22,P001,33.85339,-5.515999,Tournesol,0.269,0.34,0.028,0.91
2020-03-23,P001,33.85339,-5.515999,Mais,0.342,0.53,0.009,1.79
2020-03-24,P001,33.85339,-5.515999,Ble,0.287,0.45,0.041,1.29
2020-03-25,P001,33.85339,-5.515999,Tournesol,0.236,0.37,0.013,0.87
2020-03-26,P001,33.85339,-5.515999,Tournesol,0.257,0.4,0.003,1.03
2020-03-27,P001,33.85339,-5.515999,Mais,0.357,0.55,0.012,1.96
2020-03-28,P001,33.85339,-5.515999,Mais,0.364,0.62,0.023,2.25
2020-03-29,P001,33.85339,-5.515999,Ble,0.264,0.4,0.021,1.06
2020-03-30,P001,33.85339,-5.515999,Tournesol,0.272,0.37,0.016,1.01
